Age,Gender,EducationLevel,ExperienceYears,PreviousCompanies,DistanceFromCompany,InterviewScore,SkillScore,PersonalityScore,RecruitmentStrategy,HiringDecision,CurrentStage,FinalStatus,ResumeScore,TechnicalScore,CommunicationScore,ScreeningDate,Interview1Date,HRDate,DropStage,DropReason
33,Male,Bachelor's (Type 2),14,4,20.66307425,16,96,24,Aggressive,1,Selected,Selected,100,96,70,06-05-2026,10-05-2026,11-05-2026,None,N/A
50,Female,PhD,10,5,31.83563538,54,97,39,Conservative,0,Interview 2,Rejected,98,97,50,07-05-2026,09-05-2026,10-05-2026,Interview 2,Poor Communication
35,Male,Bachelor's (Type 2),5,2,44.03994685,92,96,31,Moderate,0,Selected,Selected,82,96,60,06-05-2026,08-05-2026,10-05-2026,None,N/A
34,Male,Bachelor's (Type 2),2,5,18.30984433,35,68,87,Moderate,0,Selected,Selected,54,68,60,07-05-2026,11-05-2026,12-05-2026,None,N/A
27,Female,Bachelor's (Type 1),15,4,33.68933756,100,66,27,Aggressive,1,Selected,Selected,91,66,70,06-05-2026,08-05-2026,10-05-2026,None,N/A
33,Male,PhD,4,3,18.50993405,25,60,77,Aggressive,1,Selected,Selected,54,60,70,07-05-2026,09-05-2026,11-05-2026,None,N/A
42,Male,Bachelor's (Type 1),10,4,31.86097915,52,59,2,Conservative,0,Interview 1,Rejected,71,59,50,05-05-2026,09-05-2026,10-05-2026,Interview 1,Weak Technical Skills
47,Female,Master's,7,4,45.24039735,16,70,99,Moderate,1,Selected,Selected,70,70,60,06-05-2026,09-05-2026,11-05-2026,None,N/A
44,Female,Master's,5,5,12.56788211,85,23,90,Moderate,0,Screening,Rejected,31,23,60,07-05-2026,09-05-2026,10-05-2026,Screening,Low Resume Score
49,Male,Bachelor's (Type 2),3,2,21.21208211,24,62,83,Conservative,0,Interview 2,Rejected,52,62,50,05-05-2026,07-05-2026,10-05-2026,Interview 2,Poor Communication
27,Male,Bachelor's (Type 2),1,4,50.66325982,1,85,78,Aggressive,1,Selected,Selected,63,85,70,06-05-2026,09-05-2026,10-05-2026,None,N/A
40,Female,Bachelor's (Type 1),13,5,44.42785141,85,60,61,Moderate,1,Selected,Selected,81,60,60,07-05-2026,10-05-2026,13-05-2026,None,N/A
35,Female,Bachelor's (Type 2),8,2,29.23199289,4,22,26,Moderate,0,Screening,Rejected,39,22,60,05-05-2026,07-05-2026,10-05-2026,Screening,Low Resume Score
32,Male,Master's,12,3,26.83137959,3,29,44,Aggressive,1,Interview 1,Rejected,56,29,70,06-05-2026,08-05-2026,10-05-2026,Interview 1,Weak Technical Skills
37,Female,Master's,11,3,15.23001912,35,59,91,Aggressive,1,Interview 1,Rejected,74,59,70,05-05-2026,07-05-2026,09-05-2026,Interview 1,Weak Technical Skills
34,Male,Bachelor's (Type 2),0,1,26.86047138,5,17,24,Moderate,0,Screening,Rejected,12,17,60,07-05-2026,11-05-2026,14-05-2026,Screening,Low Resume Score
40,Male,Bachelor's (Type 2),0,5,43.40907491,20,95,60,Moderate,0,Selected,Selected,67,95,60,06-05-2026,09-05-2026,10-05-2026,None,N/A
43,Male,Bachelor's (Type 1),12,2,35.25872566,76,55,43,,0,Interview 1,Rejected,75,55,50,05-05-2026,09-05-2026,10-05-2026,Interview 1,Weak Technical Skills
45,Male,Bachelor's (Type 1),3,4,15.50220141,100,52,96,Aggressive,1,Screening,Rejected,45,52,70,05-05-2026,08-05-2026,11-05-2026,Screening,Low Resume Score
44,Male,Bachelor's (Type 1),6,3,11.07319605,88,6,45,Conservative,0,Screening,Rejected,22,6,50,06-05-2026,09-05-2026,12-05-2026,Screening,Low Resume Score
47,Female,Bachelor's (Type 2),0,2,14.26042685,25,96,13,Aggressive,0,Selected,Selected,67,96,70,05-05-2026,09-05-2026,12-05-2026,None,N/A
47,Female,Bachelor's (Type 2),8,5,9.48796007,54,68,7,Moderate,0,Selected,Selected,72,68,60,07-05-2026,10-05-2026,11-05-2026,None,N/A
47,Female,Bachelor's (Type 2),3,1,5.782034801,38,91,47,Moderate,0,Selected,Selected,73,91,60,05-05-2026,07-05-2026,10-05-2026,None,N/A
32,Female,Bachelor's (Type 2),2,3,21.95680872,83,71,13,Aggressive,1,Selected,Selected,56,71,70,07-05-2026,11-05-2026,12-05-2026,None,N/A
28,Male,Bachelor's (Type 2),0,2,6.66498022,32,78,64,Aggressive,1,Selected,Selected,55,78,70,06-05-2026,08-05-2026,10-05-2026,None,N/A
48,Male,Bachelor's (Type 2),9,2,9.595627886,13,51,79,Moderate,0,Interview 1,Rejected,63,51,60,05-05-2026,09-05-2026,11-05-2026,Interview 1,Weak Technical Skills
34,Male,Master's,3,2,28.36623422,55,3,81,Conservative,0,Screening,Rejected,11,3,50,07-05-2026,10-05-2026,12-05-2026,Screening,Low Resume Score
32,Male,Bachelor's (Type 2),8,5,9.229963685,99,33,6,Aggressive,1,Screening,Rejected,47,33,70,06-05-2026,10-05-2026,13-05-2026,Screening,Low Resume Score
20,Female,PhD,12,5,4.193988372,80,68,78,Moderate,1,Selected,Selected,84,68,60,06-05-2026,10-05-2026,12-05-2026,None,N/A
44,Male,Master's,13,5,16.8694425,20,32,87,Moderate,0,Interview 1,Rejected,61,32,60,06-05-2026,09-05-2026,12-05-2026,Interview 1,Weak Technical Skills
26,Male,Bachelor's (Type 1),9,4,12.01595493,45,68,48,Aggressive,1,Selected,Selected,75,68,70,07-05-2026,10-05-2026,12-05-2026,None,N/A
28,Female,Master's,15,2,26.7652594,15,37,54,Moderate,0,Interview 1,Rejected,71,37,60,05-05-2026,08-05-2026,10-05-2026,Interview 1,Weak Technical Skills
43,Female,Bachelor's (Type 2),15,3,6.118354229,15,97,12,Conservative,0,Interview 2,Rejected,100,97,50,06-05-2026,10-05-2026,11-05-2026,Interview 2,Poor Communication
20,Female,Bachelor's (Type 2),5,5,38.58853938,83,25,72,Moderate,0,Screening,Rejected,33,25,60,07-05-2026,10-05-2026,11-05-2026,Screening,Low Resume Score
31,Female,Bachelor's (Type 2),15,5,46.31167597,28,0,55,Conservative,0,Screening,Rejected,45,0,50,06-05-2026,08-05-2026,09-05-2026,Screening,Low Resume Score
27,Male,Bachelor's (Type 2),5,2,38.1717587,91,3,55,Aggressive,0,Screening,Rejected,17,3,70,07-05-2026,10-05-2026,13-05-2026,Screening,Low Resume Score
43,Male,Bachelor's (Type 2),0,5,27.64135187,7,38,14,Moderate,0,Screening,Rejected,27,38,60,06-05-2026,09-05-2026,12-05-2026,Screening,Low Resume Score
50,Female,Bachelor's (Type 2),9,4,44.03339109,87,53,56,Moderate,0,Interview 1,Rejected,64,53,60,07-05-2026,10-05-2026,12-05-2026,Interview 1,Weak Technical Skills
30,Male,Bachelor's (Type 2),1,4,35.74591899,2,89,57,Moderate,0,Selected,Selected,65,89,60,05-05-2026,07-05-2026,09-05-2026,None,N/A
38,Male,Bachelor's (Type 2),10,5,1.527556123,88,32,34,Moderate,0,Interview 1,Rejected,52,32,60,07-05-2026,11-05-2026,13-05-2026,Interview 1,Weak Technical Skills
36,Male,Bachelor's (Type 2),5,2,20.70450764,18,32,87,Aggressive,0,Screening,Rejected,37,32,70,06-05-2026,10-05-2026,13-05-2026,Screening,Low Resume Score
27,Female,Master's,1,2,43.54759497,96,71,96,Moderate,1,Selected,Selected,53,71,60,07-05-2026,09-05-2026,11-05-2026,None,N/A
22,Male,Bachelor's (Type 1),2,2,18.2929429,65,19,15,Moderate,0,Screening,Rejected,19,19,60,07-05-2026,10-05-2026,13-05-2026,Screening,Low Resume Score
22,Female,Bachelor's (Type 2),3,1,2.760758676,78,15,7,Aggressive,0,Screening,Rejected,20,15,70,06-05-2026,09-05-2026,12-05-2026,Screening,Low Resume Score
20,Male,Master's,10,5,38.30898193,85,20,92,Conservative,1,Screening,Rejected,44,20,50,06-05-2026,08-05-2026,09-05-2026,Screening,Low Resume Score
46,Male,Bachelor's (Type 2),4,2,41.10191351,73,44,86,Moderate,0,Screening,Rejected,43,44,60,06-05-2026,09-05-2026,12-05-2026,Screening,Low Resume Score
24,Male,Bachelor's (Type 1),14,4,9.029684752,81,89,44,Moderate,0,Selected,Selected,100,89,60,05-05-2026,07-05-2026,08-05-2026,None,N/A
29,Female,Bachelor's (Type 1),8,3,27.86702484,21,86,94,Aggressive,1,Selected,Selected,84,86,70,06-05-2026,10-05-2026,12-05-2026,None,N/A
26,Male,Bachelor's (Type 2),11,3,10.59777195,45,81,39,Aggressive,1,Selected,Selected,90,81,70,06-05-2026,10-05-2026,12-05-2026,None,N/A
45,Female,PhD,14,2,36.96172095,90,61,53,Moderate,1,Selected,Selected,85,61,60,07-05-2026,10-05-2026,11-05-2026,None,N/A
28,Female,Bachelor's (Type 2),14,3,14.57752276,12,30,13,Moderate,0,Interview 1,Rejected,63,30,60,05-05-2026,08-05-2026,10-05-2026,Interview 1,Weak Technical Skills
47,Female,PhD,3,3,16.81075613,32,41,58,Moderate,0,Screening,Rejected,38,41,60,07-05-2026,11-05-2026,12-05-2026,Screening,Low Resume Score
26,Male,Bachelor's (Type 2),12,1,43.24854268,4,11,93,Moderate,0,Screening,Rejected,44,11,60,05-05-2026,07-05-2026,08-05-2026,Screening,Low Resume Score
28,Male,Bachelor's (Type 2),10,4,24.81611761,89,64,52,Aggressive,1,Selected,Selected,75,64,70,06-05-2026,08-05-2026,11-05-2026,None,N/A
27,Male,Bachelor's (Type 2),8,4,34.48772256,76,72,26,Moderate,0,Selected,Selected,74,72,60,06-05-2026,09-05-2026,12-05-2026,None,N/A
31,Male,Bachelor's (Type 2),10,1,21.11865254,26,2,46,Moderate,0,Screening,Rejected,31,2,60,05-05-2026,07-05-2026,08-05-2026,Screening,Low Resume Score
